Time,Open,Close,High,Low,Volume
2016-08-20,652000.0,658000.0,663000.0,650000.0,2528.33620207
2016-08-21,657000.0,657000.0,663000.0,657000.0,1545.46617419
2016-08-22,658000.0,660000.0,662000.0,656000.0,2329.25127349
2016-08-23,660000.0,663000.0,668000.0,659000.0,3598.8775222
2016-08-24,663000.0,659000.0,665000.0,658000.0,3444.67487249
2016-08-25,658000.0,649000.0,661000.0,649000.0,3869.57659664
2016-08-26,651000.0,655000.0,658000.0,649000.0,3486.09333531
2016-08-27,655000.0,648000.0,656000.0,648000.0,2110.07964027
2016-08-28,648000.0,648000.0,652000.0,641000.0,1997.34420402
2016-08-29,649000.0,651000.0,658000.0,648000.0,3366.86961146
2016-08-30,651000.0,651000.0,656000.0,647000.0,3069.12175676
2016-08-31,650000.0,647000.0,654000.0,646000.0,2610.72203276
2016-09-01,647000.0,647000.0,652000.0,644000.0,3205.68757104
2016-09-02,647000.0,646000.0,649000.0,642000.0,2861.66307426
2016-09-03,647000.0,652000.0,652000.0,645000.0,1903.60361145
2016-09-04,652000.0,687000.0,690000.0,649000.0,3208.46858363
2016-09-05,686000.0,678000.0,689000.0,678000.0,3010.90644743
2016-09-06,677000.0,688000.0,688000.0,677000.0,3127.88256196
2016-09-07,688000.0,680000.0,689000.0,680000.0,3450.06300775
2016-09-08,680000.0,691000.0,694000.0,680000.0,2894.41140547
2016-09-09,691000.0,694000.0,698000.0,687000.0,3073.99026873
2016-09-10,695000.0,700000.0,703000.0,693000.0,2481.99969314
2016-09-11,701000.0,700000.0,703000.0,697000.0,1560.49171035
2016-09-12,700000.0,681000.0,711000.0,672000.0,4397.86474165
2016-09-13,683000.0,691000.0,692000.0,679000.0,2688.1633403
2016-09-14,691000.0,694000.0,695000.0,687000.0,2096.96589526
2016-09-15,693000.0,691000.0,695000.0,689000.0,1122.94548638
2016-09-16,690000.0,692000.0,696000.0,687000.0,1525.008673
2016-09-17,691000.0,692000.0,692000.0,687000.0,1332.04488151
2016-09-18,690000.0,695000.0,698000.0,688000.0,1811.3195163
2016-09-19,695000.0,694000.0,698000.0,689000.0,2865.00442148
2016-09-20,693000.0,691000.0,694000.0,687000.0,3046.7324954
2016-09-21,691000.0,676000.0,691000.0,665000.0,5312.7749089
2016-09-22,676000.0,668000.0,677000.0,666000.0,3553.57904406
2016-09-23,669000.0,673000.0,676000.0,660000.0,2697.02149924
2016-09-24,675000.0,674000.0,681000.0,672000.0,2253.35885783
2016-09-25,674000.0,671000.0,677000.0,670000.0,1716.93596275
2016-09-26,673000.0,678000.0,682000.0,670000.0,2728.01653777
2016-09-27,677000.0,677000.0,679000.0,674000.0,2832.06416325
2016-09-28,676000.0,674000.0,681000.0,672000.0,3430.12399586
2016-09-29,675000.0,674000.0,677000.0,671000.0,2923.17274791
2016-09-30,675000.0,678000.0,678000.0,672000.0,3053.42395649
2016-10-01,678000.0,686000.0,686000.0,676000.0,2344.9183999
2016-10-02,686000.0,686000.0,689000.0,682000.0,1601.52435357
2016-10-03,687000.0,684000.0,687000.0,682000.0,1706.84409398
2016-10-04,684000.0,683000.0,686000.0,678000.0,2471.76228396
2016-10-05,683000.0,691000.0,990000.0,682000.0,3574.33431023
2016-10-06,691000.0,690000.0,693000.0,686000.0,2746.8683931
2016-10-07,690000.0,696000.0,698000.0,689000.0,3705.81141776
2016-10-08,697000.0,694000.0,701000.0,693000.0,3091.56811272
